,Cities,Zipcodes,,,,
,Adugodi,560030,,,,
,Agaram,560007,,,,
,Air Force Stn. Yelahanka,560063,,,,
,Arabic College,560045,,,,
,Banashankari,560050,,,,
,Banashankari 2nd Stage,560070,,,,
,Banashankari 3rd Stage,560085,,,,
,Bangalore City H.O.,560002,,,,
,Bangalore G.P.O.,560001,,,,
,Bangalore University,560056,,,,
,Bannerghatta,560083,,,,
,Bannerghatta Road,560076,,,,
,Bansawadi,560043,,,,
,Basavangudi,560004,,,,
,Basaveswaranagar,560079,,,,
,Benson Town,560046,,,,
,Broadway Road,560051,,,,
,Byatarayanapura,560092,,,,
,Carmelram,560035,,,,
,Chamrajpet West,560018,,,,
,Chickpet,560053,,,,
,Chikkabanavara,560090,,,,
,C V Raman Nagar,560093,,,,
,Dasarahalli,560057,,,,
,Dharmaram College,560029,,,,
,Doddakallasandra,560062,,,,
,Domlur,560071,,,,
,Dooravaninagar,560016,,,,
,Fraser Town,560005,,,,
,Gandhinagar,560009,,,,
,Gavipuram Ext.,560019,,,,
,G.K.V.K.,560065,,,,
,Gokula Extension,560054,,,,
,Govt. Elec. Factory,560026,,,,
,Hebbal Agri. Farm,560024,,,,
,Hesaraghatta,560088,,,,
,Hesaraghatta Lake,560089,,,,
,H K P Road,560051,,,,
,HMT,560031,,,,
,Hospital Town East,560014,,,,
,Hospital Town West,560015,,,,
,Indiranagar,560038,,,,
,Industrial Estate,560044,,,,
,J C Nagar,560006,,,,
,Jalahalli,560013,,,,
,Jayanagar 3rd Block,560011,,,,
,Jayanagar East,560069,,,,
,Jayanagar South,560041,,,,
,J P Nagar,560078,,,,
,Kadugodi,560067,,,,
,Kengeri,560060,,,,
,Kothanur,560077,,,,
,Krishnarajapuram,560036,,,,
,Kumbalgodu,560074,,,,
,Koramangala,560034,,,,
,Koramangala 6th Block,560095,,,,
,Madivala,560068,,,,
,Magadi Road,560023,,,,
,Mahadevapura,560048,,,,
,Mahalakshmi Layout,560086,,,,
,Malleswaram,560003,,,,
,Malleswaram West,560055,,,,
,Marathahally Colony,560037,,,,
,Maruthisevanagar,560033,,,,
,Mathikere,560054,,,,
,Nagarbhavi,560072,,,,
,Nagasandra,560073,,,,
,Nagashettyhalli,560094,,,,
,Nandhini Layout,560096,,,,
,Nayandahalli,560039,,,,
,New Tippasandra,560075,,,,
,Peenya S.I.,560058,,,,
,Rajajinagar,560010,,,,
,Richmond Town,560025,,,,
,RT Nagar,560032,,,,
,R V Niketan,560059,,,,
,Science Institute,560012,,,,
,Seshadripuram,560020,,,,
,Shanthinagar,560027,,,,
,Sivan Chetty Gardens,560042,,,,
,Srirampuram,560021,,,,
,St.Johns,560034,,,,
,St.Thomas Town,560084,,,,
,Subramanyapura,560061,,,,
,Thyagarajanagar,560028,,,,
,Ulsoor H.O.,560008,,,,
,Vasanthanagar,560052,,,,
,Vidyaranyapura,560097,,,,
,Vijayanagar,560040,,,,
,Vimanapura,560017,,,,
,Virgonagar,560049,,,,
,Viswaneedam,560091,,,,
,Vyalikaval,560003,,,,
,Viveknagar,560047,,,,
,Whitefield,560066,,,,
,Wilson Garden,560027,,,,
,Yelhanka,560064,,,,
,Yeswantpur,560022,,,,
